og_topic,new_topic
Unknown,Unknown
Economy-wide,Policy & Cross-Sectoral
Technology R&D and innovation,Innovation & Technology
Methane abatement,Environmental & Transition
"Transport,Power",Infrastructure & Sectoral Systems
Power,Infrastructure & Sectoral Systems
Transport,Infrastructure & Sectoral Systems
Buildings,Infrastructure & Sectoral Systems
Industry,Infrastructure & Sectoral Systems
"Fuels,Power",Infrastructure & Sectoral Systems
"Fuels,Buildings,Industry,Power",Infrastructure & Sectoral Systems
Just transitions,Environmental & Transition
"Transport,Industry,Power",Infrastructure & Sectoral Systems
"Transport,Buildings",Infrastructure & Sectoral Systems
Fuels and technology innovation,Innovation & Technology
"Economy-wide,Methane abatement",Policy & Cross-Sectoral
"Fuels,Industry",Infrastructure & Sectoral Systems
"Industry,Power",Infrastructure & Sectoral Systems
People-Centred Clean Energy Transitions,Environmental & Transition
Fuels,Infrastructure & Sectoral Systems
"Fuels and technology innovation,Power",Innovation & Technology
"Fuels,Transport,Power",Infrastructure & Sectoral Systems
"Technology R&D and innovation,Power",Innovation & Technology
"Technology R&D and innovation,Transport",Innovation & Technology
"Transport,Buildings,Power",Infrastructure & Sectoral Systems
"Fuels and technology innovation,Industry",Innovation & Technology
Critical Minerals,Environmental & Transition
"Buildings,Power",Infrastructure & Sectoral Systems
"Fuels and technology innovation,Buildings",Innovation & Technology
"Technology R&D and innovation,Methane abatement",Innovation & Technology
"Fuels and technology innovation,Critical Minerals",Innovation & Technology
"Just transitions,Fuels,Industry,Power",Environmental & Transition
"Fuels and technology innovation,Fuels,Power",Innovation & Technology
"Fuels and technology innovation,Fuels,Industry",Innovation & Technology
"Fuels and technology innovation,Buildings,Industry",Innovation & Technology
"Power,Critical Minerals",Environmental & Transition
"Fuels and technology innovation,Fuels,Transport,Power",Innovation & Technology
"Industry,Methane abatement",Environmental & Transition
"Industry,Critical Minerals",Environmental & Transition
"Technology R&D and innovation,Fuels",Innovation & Technology
"Transport,Industry",Infrastructure & Sectoral Systems
"Economy-wide,Power",Policy & Cross-Sectoral
"Transport,Buildings,Industry,Power",Infrastructure & Sectoral Systems
"Transport,Critical Minerals",Environmental & Transition
"Fuels and technology innovation,Power,Critical Minerals",Innovation & Technology
"Fuels,Transport",Infrastructure & Sectoral Systems
"Fuels and technology innovation,Transport",Innovation & Technology
"Just transitions,Methane abatement",Environmental & Transition
"Critical Minerals,Methane abatement",Environmental & Transition
"Just transitions,Buildings",Environmental & Transition
"Just transitions,Industry",Environmental & Transition
"Buildings,Industry",Infrastructure & Sectoral Systems
"Fuels,Buildings,Power",Infrastructure & Sectoral Systems
"Economy-wide,Just transitions",Policy & Cross-Sectoral
"Fuels and technology innovation,Fuels",Innovation & Technology
"People-Centred Clean Energy Transitions,Fuels",Environmental & Transition
"Buildings,Industry,Power",Infrastructure & Sectoral Systems
"Fuels and technology innovation,Fuels,Critical Minerals",Innovation & Technology
"Transport,Power,Critical Minerals",Environmental & Transition
"People-Centred Clean Energy Transitions,Fuels,Industry,Power",Environmental & Transition
"Technology R&D and innovation,Transport,Power",Innovation & Technology
"Transport,Buildings,Industry",Infrastructure & Sectoral Systems
"Transport,Buildings,Industry,Power,Methane abatement",Environmental & Transition
"Industry,Power,Methane abatement",Environmental & Transition
